fips,number_of_deaths,total_population,area_per_square_mile,population_density_per_square_mile,minority_percentage,limited_english,multi_unit_housing,mobile_homes,overcrowding_rank,no_vehicle_household,institutionalized_ranker,housing_and_transportation,social_vulnerability,"Less than a high school diploma, 2015-19","High school diploma only, 2015-19","Some college or associate's degree, 2015-19","Bachelor's degree or higher, 2015-19"
48407,518.0,27172.0,569.2426346,47.73359961,0.6402,0.695,0.1385,0.9058,0.8163,0.3626,0.0497,0.3604,0.7138,3091.0,9580.0,5038.0,2244.0
48409,997.0,66706.0,693.4356943,96.19637487,0.9328,0.9064,0.539,0.4578,0.9564,0.5645,0.2225,0.6113,0.7781,8624.0,14028.0,13531.0,6681.0
48411,92.0,5881.0,1135.309883,5.180083508,0.7418,0.9491,0.0,0.6208,0.5193,0.5193,0.9535,0.5422,0.7259,1061.0,1468.0,1084.0,594.0
48413,0.0,3171.0,1310.641027,2.41942678,0.8889,0.9545,0.0898,0.7743,0.9819,0.6587,0.0,0.4868,0.5224,402.0,488.0,752.0,326.0
48415,225.0,17314.0,905.4441295,19.12210752,0.8596,0.8548,0.12,0.5259,0.8701,0.263,0.9373,0.5979,0.5887,2378.0,3821.0,3133.0,1809.0
48417,0.0,3323.0,914.2853877,3.634532548,0.4677,0.5778,0.1907,0.7192,0.6199,0.4877,0.0713,0.2814,0.5505,304.0,489.0,763.0,683.0
48419,435.0,25705.0,795.5887182,32.30940738,0.7838,0.8876,0.0697,0.9411,0.6415,0.6425,0.1079,0.4282,0.9128,3826.0,5690.0,4478.0,2241.0
48421,0.0,3069.0,923.0352054,3.324900266,0.8408,0.9519,0.099,0.5575,0.2665,0.006,0.2063,0.0274,0.3407,435.0,638.0,691.0,312.0
48423,2831.0,219745.0,921.5102704,238.4618024,0.8007,0.9029,0.8329,0.5164,0.8287,0.2939,0.5737,0.773,0.7249,21183.0,34903.0,53483.0,39346.0
48425,120.0,8673.0,186.4630115,46.51324642,0.5871,0.9004,0.2939,0.8309,0.9659,0.0497,0.7418,0.6921,0.6641,647.0,2408.0,1542.0,1650.0
48427,599.0,63008.0,1223.178566,51.51169399,1.0,0.9997,0.213,0.3922,0.9933,0.8676,0.1662,0.5517,0.9803,16619.0,9379.0,6084.0,3515.0
48429,162.0,9787.0,896.7190537,10.91423223,0.6804,0.8755,0.4597,0.7899,0.8542,0.5495,0.8596,0.9392,0.8615,1350.0,1801.0,2117.0,1021.0
48431,0.0,1233.0,923.4489473,1.335211875,0.7988,0.8192,0.0,0.6482,0.7112,0.006,0.6995,0.2719,0.4409,82.0,403.0,216.0,74.0
48433,0.0,1233.0,916.3122109,1.345611229,0.68,0.8042,0.0,0.4779,0.9484,0.6934,0.7854,0.7052,0.8459,185.0,340.0,317.0,146.0
48435,0.0,3936.0,1453.934515,2.707137054,0.9306,0.9347,0.1824,0.7268,0.9519,0.1261,0.0802,0.2728,0.5294,667.0,845.0,610.0,438.0
48437,107.0,7639.0,890.1592054,8.581610968,0.8902,0.8329,0.2833,0.3085,0.9395,0.0872,0.9093,0.497,0.8965,1340.0,1499.0,1407.0,766.0
48439,20192.0,1947529.0,863.6496815,2254.998805,0.8867,0.9401,0.9577,0.0694,0.9124,0.263,0.2359,0.446,0.5406,182491.0,314880.0,392574.0,424067.0
48441,1955.0,135234.0,915.5510857,147.70776,0.7526,0.7848,0.8586,0.2257,0.6383,0.4187,0.7997,0.7256,0.7151,8915.0,25865.0,27654.0,21084.0
48443,0.0,778.0,2358.015806,0.329938416,0.9717,0.9293,0.0,0.489,0.0,0.9828,0.0,0.0786,0.5285,102.0,202.0,311.0,139.0
48445,195.0,12724.0,888.8389381,14.31530444,0.9258,0.9468,0.5575,0.5342,0.8822,0.2763,0.915,0.8319,0.8886,2526.0,2529.0,2025.0,910.0
48447,0.0,1520.0,912.5518616,1.665658758,0.5575,0.6294,0.1601,0.5737,0.1958,0.0621,0.1996,0.0347,0.2515,146.0,389.0,318.0,237.0
48449,394.0,32592.0,406.057144,80.26456492,0.8981,0.9793,0.5014,0.7335,0.9771,0.263,0.1535,0.5498,0.8571,4639.0,6649.0,5363.0,3253.0
48451,1482.0,116264.0,1521.990029,76.38946233,0.8513,0.8195,0.9303,0.2913,0.696,0.5339,0.823,0.8698,0.6262,10378.0,22843.0,23879.0,18481.0
48453,8536.0,1148176.0,991.7921754,1157.678018,0.8848,0.9513,0.9927,0.1296,0.9077,0.4537,0.5244,0.7542,0.4419,89931.0,139014.0,192725.0,421360.0
